s_indoor,s_outdoor,s_tod,s_occ,s_price,action,reward,s2_indoor,s2_outdoor,s2_tod,s2_occ,s2_price,done
22.560616,20.770931,16.75,1.0,0.46115518,1,-0.2929046094417571,22.56508,20.770931,17.0,5.0,0.4763487,0
22.56508,20.770931,17.0,5.0,0.4763487,0,-0.0938004612922668,22.645807,20.770931,17.25,0.0,0.4380046,0
22.645807,20.770931,17.25,0.0,0.4380046,1,-0.2780071288347244,22.486004,20.770931,17.5,0.0,0.42669043,0
22.486004,20.770931,17.5,0.0,0.42669043,1,-0.2866069614887237,22.40807,20.770931,17.75,2.0,0.45535654,0
22.40807,20.770931,17.75,2.0,0.45535654,0,-0.1041986763477325,22.408401,20.770931,18.0,1.0,0.54198676,0
22.408401,20.770931,18.0,1.0,0.54198676,0,-0.105924916267395,22.491884,20.770931,18.25,0.0,0.55924916,0
22.491884,20.770931,18.25,0.0,0.55924916,0,-0.1042955875396728,22.51201,20.770931,18.5,0.0,0.5429559,0
22.51201,20.770931,18.5,0.0,0.5429559,0,-0.1039490580558776,22.410044,20.770931,18.75,0.0,0.5394906,0
22.410044,20.770931,18.75,0.0,0.5394906,0,-0.0951692581176757,22.538738,20.770931,19.0,4.0,0.45169258,0
22.538738,20.770931,19.0,4.0,0.45169258,0,-0.088853320479393,22.596418,20.770931,19.25,2.0,0.3885332,0
22.596418,20.770931,19.25,2.0,0.3885332,0,-0.0829757899045944,22.581736,20.770931,19.5,1.0,0.3297579,0
22.581736,20.770931,19.5,1.0,0.3297579,0,-0.07577605843544,22.69039,20.770931,19.75,0.0,0.25776058,0
22.69039,20.770931,19.75,0.0,0.25776058,0,-0.0781430006027221,22.73608,20.770931,20.0,0.0,0.28143,0
22.73608,20.770931,20.0,0.0,0.28143,0,-0.0751346290111541,22.804106,20.770931,20.25,1.0,0.2513463,0
22.804106,20.770931,20.25,1.0,0.2513463,0,-0.0802166849374771,22.78066,20.770931,20.5,0.0,0.30216685,0
22.78066,20.770931,20.5,0.0,0.30216685,0,-0.0816205352544784,22.959938,20.770931,20.75,4.0,0.31620535,0
22.959938,20.770931,20.75,4.0,0.31620535,0,-0.0857133507728576,22.893202,20.770931,21.0,4.0,0.3571335,0
22.893202,20.770931,21.0,4.0,0.3571335,0,-0.0865365535020828,23.01493,20.770931,21.25,3.0,0.36536554,0
23.01493,20.770931,21.25,3.0,0.36536554,0,-0.0870108217000961,23.079222,20.770931,21.5,0.0,0.37010822,0
23.079222,20.770931,21.5,0.0,0.37010822,0,-0.0832429349422455,23.149836,20.770931,21.75,3.0,0.33242935,0
23.149836,20.770931,21.75,3.0,0.33242935,0,-0.0815345883369445,23.151564,20.770931,22.0,7.0,0.31534588,0
23.151564,20.770931,22.0,7.0,0.31534588,0,-0.0871278822422027,23.171017,20.770931,22.25,10.0,0.37127882,0
23.171017,20.770931,22.25,10.0,0.37127882,0,-0.0917204111814499,23.135683,20.770931,22.5,10.0,0.4172041,0
23.135683,20.770931,22.5,10.0,0.4172041,0,-0.0897268652915954,23.157593,20.770931,22.75,6.0,0.39726865,0
23.157593,20.770931,22.75,6.0,0.39726865,0,-0.0924679160118103,23.174614,20.770931,23.0,7.0,0.42467916,0
23.174614,20.770931,23.0,7.0,0.42467916,0,-0.0883956968784332,23.233908,20.770931,23.25,12.0,0.38395697,0
23.233908,20.770931,23.25,12.0,0.38395697,0,-0.0850100457668304,23.308397,20.770931,23.5,13.0,0.35010046,0
23.308397,20.770931,23.5,13.0,0.35010046,0,-0.0823170244693756,23.272102,20.770931,23.75,9.0,0.32317024,0
